policyVersion,regionDatasetVersion,stage,groupKey,groupLabel,parentGroupKey
# policySource=https://github.com/woowacourse-teams/2026-toadzip/issues/95
# regionSource=classpath:region/regions.csv
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12720,곡성군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12730,구례군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12740,고흥군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12750,보성군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12760,화순군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12770,장흥군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12780,강진군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12790,해남군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12800,영암군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12810,무안군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12820,함평군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12830,영광군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12840,장성군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12850,완도군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12860,진도군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:12870,신안군,METROPOLITAN:12
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26110,중구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26140,서구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26170,동구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26200,영도구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26230,부산진구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26260,동래구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26290,남구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26320,북구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26350,해운대구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26380,사하구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26410,금정구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26440,강서구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26470,연제구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26500,수영구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26530,사상구,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:26710,기장군,METROPOLITAN:26
2026-09-02-v1,2026-07-01,3,BASIC_REGION:27110,중구,METROPOLITAN:27
2026-09-02-v1,2026-07-01,3,BASIC_REGION:27140,동구,METROPOLITAN:27
2026-09-02-v1,2026-07-01,3,BASIC_REGION:27170,서구,METROPOLITAN:27
2026-09-02-v1,2026-07-01,3,BASIC_REGION:27200,남구,METROPOLITAN:27
2026-09-02-v1,2026-07-01,3,BASIC_REGION:27230,북구,METROPOLITAN:27
2026-09-02-v1,2026-07-01,3,BASIC_REGION:27260,수성구,METROPOLITAN:27
2026-09-02-v1,2026-07-01,3,BASIC_REGION:27290,달서구,METROPOLITAN:27
2026-09-02-v1,2026-07-01,3,BASIC_REGION:27710,달성군,METROPOLITAN:27
2026-09-02-v1,2026-07-01,3,BASIC_REGION:27720,군위군,METROPOLITAN:27
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28125,제물포구,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28155,영종구,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28177,미추홀구,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28185,연수구,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28200,남동구,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28237,부평구,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28245,계양구,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28275,서해구,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28290,검단구,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28710,강화군,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:28720,옹진군,METROPOLITAN:28
2026-09-02-v1,2026-07-01,3,BASIC_REGION:30110,동구,METROPOLITAN:30
2026-09-02-v1,2026-07-01,3,BASIC_REGION:30140,중구,METROPOLITAN:30
2026-09-02-v1,2026-07-01,3,BASIC_REGION:30170,서구,METROPOLITAN:30
2026-09-02-v1,2026-07-01,3,BASIC_REGION:30200,유성구,METROPOLITAN:30
2026-09-02-v1,2026-07-01,3,BASIC_REGION:30230,대덕구,METROPOLITAN:30
2026-09-02-v1,2026-07-01,3,BASIC_REGION:31110,중구,METROPOLITAN:31
2026-09-02-v1,2026-07-01,3,BASIC_REGION:31140,남구,METROPOLITAN:31
2026-09-02-v1,2026-07-01,3,BASIC_REGION:31170,동구,METROPOLITAN:31
2026-09-02-v1,2026-07-01,3,BASIC_REGION:31200,북구,METROPOLITAN:31
2026-09-02-v1,2026-07-01,3,BASIC_REGION:31710,울주군,METROPOLITAN:31
2026-09-02-v1,2026-07-01,3,BASIC_REGION:36110,세종특별자치시,METROPOLITAN:36
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41110,수원시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41130,성남시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41150,의정부시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41170,안양시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41190,부천시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41210,광명시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41220,평택시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41250,동두천시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41270,안산시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41280,고양시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41290,과천시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41310,구리시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41360,남양주시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41370,오산시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41390,시흥시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41410,군포시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41430,의왕시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41450,하남시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41460,용인시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41480,파주시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41500,이천시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41550,안성시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41570,김포시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41590,화성시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41610,광주시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41630,양주시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41650,포천시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41670,여주시,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41800,연천군,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41820,가평군,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:41830,양평군,METROPOLITAN:41
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43110,청주시,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43130,충주시,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43150,제천시,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43720,보은군,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43730,옥천군,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43740,영동군,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43745,증평군,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43750,진천군,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43760,괴산군,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43770,음성군,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:43800,단양군,METROPOLITAN:43
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44130,천안시,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44150,공주시,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44180,보령시,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44200,아산시,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44210,서산시,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44230,논산시,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44250,계룡시,METROPOLITAN:44
